sgRNA	gene	Lib_isg_ctrl	Lib_isg_sort
brunello_ALDH1A2_2	ALDH1A2	2917	2759
brunello_ALDH1A2_3	ALDH1A2	4966	5669
brunello_ALDH1A2_4	ALDH1A2	2570	2728
brunello_ALDH1B1_1	ALDH1B1	2233	1566
brunello_ALDH1B1_2	ALDH1B1	2703	2278
brunello_ALDH1B1_3	ALDH1B1	2999	3854
brunello_ALDH1B1_4	ALDH1B1	2787	3602
brunello_ALDH1L2_1	ALDH1L2	1338	828
brunello_ALDH1L2_2	ALDH1L2	3881	4231
brunello_ALDH1L2_3	ALDH1L2	3266	3872
brunello_ALDH1L2_4	ALDH1L2	1296	2239
brunello_ALDOB_1	ALDOB	2904	3357
brunello_ALDOB_2	ALDOB	3112	2808
brunello_ALDOB_3	ALDOB	1710	1931
brunello_ALDOB_4	ALDOB	1717	1125
brunello_ALX1_1	ALX1	2341	3950
brunello_ALX1_2	ALX1	2734	2863
brunello_ALX1_3	ALX1	4135	4858
brunello_ALX1_4	ALX1	5457	4366
brunello_ALYREF_1	ALYREF	801	528
brunello_ALYREF_2	ALYREF	1429	949
brunello_ALYREF_3	ALYREF	3248	5039
brunello_ALYREF_4	ALYREF	4132	5677
brunello_AMACR_1	AMACR	4720	4823
brunello_AMACR_2	AMACR	3753	3390
brunello_AMACR_3	AMACR	3531	3757
brunello_AMACR_4	AMACR	3112	3330
brunello_AMOTL2_1	AMOTL2	7754	8774
brunello_AMOTL2_2	AMOTL2	1946	2445
brunello_AMOTL2_3	AMOTL2	5725	7953
brunello_AMOTL2_4	AMOTL2	3657	3931
brunello_AMPD3_1	AMPD3	4559	5593
brunello_AMPD3_2	AMPD3	2580	2692
brunello_AMPD3_3	AMPD3	2078	1885
brunello_AMPD3_4	AMPD3	2581	3209
brunello_AMPH_1	AMPH	4385	4913
